Isolate	Reference	Total_Allele_Kmers	Matched_Kmers	PropNorm
109.NOR_1990	HTF_p21.F9	746	0	0
109.NOR_1990	HTF_p23.B8	31	0	0
109.NOR_1990	HTF_p25.A12	777	0	0
109.NOR_1990	HTF_p25.C2	1167	0	0
109.NOR_1990	HTF_p26.D6	15	0	0
109.NOR_1990	HTF_p5.D5	993	885	1
109.NOR_1990	HTF_p7.G11	1063	0	0
120.RUS_1860	HTF_p21.F9	746	17	0.0314232902033272
120.RUS_1860	HTF_p23.B8	31	0	0
120.RUS_1860	HTF_p25.A12	777	0	0
120.RUS_1860	HTF_p25.C2	1167	0	0
120.RUS_1860	HTF_p26.D6	15	0	0
120.RUS_1860	HTF_p5.D5	993	524	0.968576709796673
120.RUS_1860	HTF_p7.G11	1063	0	0
27.ESP_1975	HTF_p21.F9	746	24	1
27.ESP_1975	HTF_p23.B8	31	0	0
27.ESP_1975	HTF_p25.A12	777	0	0
27.ESP_1975	HTF_p25.C2	1167	0	0
27.ESP_1975	HTF_p26.D6	15	0	0
27.ESP_1975	HTF_p5.D5	993	0	0
27.ESP_1975	HTF_p7.G11	1063	0	0
30.ESP_1983b	HTF_p21.F9	746	3	0.038961038961039
30.ESP_1983b	HTF_p23.B8	31	0	0
30.ESP_1983b	HTF_p25.A12	777	74	0.961038961038961
30.ESP_1983b	HTF_p25.C2	1167	0	0
30.ESP_1983b	HTF_p26.D6	15	0	0
30.ESP_1983b	HTF_p5.D5	993	0	0
30.ESP_1983b	HTF_p7.G11	1063	0	0
33.ESP_1985b	HTF_p21.F9	746	0	0
33.ESP_1985b	HTF_p23.B8	31	10	1
33.ESP_1985b	HTF_p25.A12	777	0	0
33.ESP_1985b	HTF_p25.C2	1167	0	0
33.ESP_1985b	HTF_p26.D6	15	0	0
33.ESP_1985b	HTF_p5.D5	993	0	0
33.ESP_1985b	HTF_p7.G11	1063	0	0
34.ESP_1985c_S36	HTF_p21.F9	746	248	1
34.ESP_1985c_S36	HTF_p23.B8	31	0	0
34.ESP_1985c_S36	HTF_p25.A12	777	0	0
34.ESP_1985c_S36	HTF_p25.C2	1167	0	0
34.ESP_1985c_S36	HTF_p26.D6	15	0	0
34.ESP_1985c_S36	HTF_p5.D5	993	0	0
