p12.A11	0.9105	43.42
p12.E2	0.9969	119.32
p12.F2	0.9355	62.88
p12.G7	0.9502	25.18
p13.C1	0.9117	82.60
p13.C7	0.9461	33.15
p13.D10	0.9411	82.19
p13.F3	0.9133	151.89
p1.G2	0.9455	47.01
p20.D4	0.9823	26.98
p20.F10	0.9047	26.00
p20.G9	0.9038	23.74
p21.A8	0.9039	48.72
p21.E3	0.8956	36.43
p21.F1	0.9444	54.95
p21.F9	0.9177	41.91
p22.A8	0.8915	36.09
p22.B5	0.9049	28.11
p22.C1	0.9317	41.40
p22.D1	0.9035	9.54
p22.D4	0.9458	7.09
p23.A3	0.8654	86.13
p23.B2	0.8572	50.10
p23.B8	0.9674	26.15
p24.B5	0.9447	23.54
p24.H2	0.8482	29.24
p25.A12	0.8726	7.12
p25.B2	0.9986	9.52
p25.C11	0.9135	8.12
p25.C2	1.0000	42.14
p25.D2	1.0000	11.63
p26.B7	0.9778	18.74
p26.D6	0.9400	10.49
p26.E7	0.9680	25.88
p27.D6	0.8911	55.59
p27.F2	0.9438	27.83
p3.A3	1.0000	13.81
p3.F12	1.0000	68.01
p3.F8	0.9645	14.39
p3.G9	0.9628	39.56
p4.A6	1.0000	12.71
p4.D2	0.9497	42.43
p4.E5	0.8940	8.42
p4.E6	0.8974	24.83
p5.C1	0.9263	82.54
p5.C3	0.8922	54.28
p5.D5	0.9399	51.11
p5.H11	0.8271	21.14
p6.A10	0.9852	92.55
p6.B9	0.9625	44.23
p7.G11	0.8756	53.66
p8.B3	1.0000	80.66
p8.B9	0.9515	48.71
p8.C7	0.9304	48.16
p8.E4	0.8902	34.64
p8.H7	0.8624	54.48
p9.C4	0.9696	41.87
